product_id,product_name,category,price,cost,stock_level,supplier_id,rating
PROD001,Laptop Gaming ASUS,Electronics,12500000,8500000,45,SUP001,4.5
PROD002,T-Shirt Premium,Fashion,450000,150000,320,SUP002,4.2
PROD003,Bedsheet Set,Home & Living,750000,250000,180,SUP003,4.3
PROD004,iPhone 13,Electronics,21000000,15000000,12,SUP001,4.8
PROD005,Jeans Branded,Fashion,580000,200000,250,SUP002,4.1
PROD006,Coffee Maker,Electronics,920000,400000,85,SUP004,4.4
PROD007,Pillows Set,Home & Living,340000,100000,520,SUP003,3.9
PROD008,Smart TV 55",Electronics,18500000,12000000,28,SUP001,4.6
PROD009,Dress Collection,Fashion,670000,220000,150,SUP002,4.3
PROD010,Kitchen Organizer,Home & Living,420000,140000,380,SUP003,4.0
PROD011,Jacket Winter,Fashion,890000,300000,95,SUP002,4.2
PROD012,Monitor Gaming,Electronics,14500000,9500000,35,SUP001,4.7
PROD013,Curtain Premium,Home & Living,520000,180000,220,SUP003,4.1
PROD014,Headphone Pro,Electronics,7600000,4500000,65,SUP004,4.5
PROD015,Shoes Sports,Fashion,630000,210000,280,SUP002,4.2
PROD016,Projector 4K,Electronics,11200000,7000000,18,SUP001,4.6
PROD017,Lamp LED,Home & Living,480000,160000,410,SUP003,4.0
PROD018,Camera DSLR,Electronics,8500000,5500000,22,SUP004,4.7
PROD019,Blouse Casual,Fashion,720000,240000,200,SUP002,4.1
PROD020,Carpet Premium,Home & Living,590000,200000,140,SUP003,4.2
